Outcome,Fixed Time-Based,Performance-Based DDA,Skill-Specific DDA,Test statistic,p-value,Effect size
"Hard/Expert patterns, %","41.0 (6.7) [34.9, 47.2]","27.4 (10.9) [19.5, 35.2]","28.7 (7.1) [24.0, 33.5]","Welch F(2, 15.32) = 8.07",0.020,eta-squared = 0.33
Total patterns spawned,"41.1 (0.9) [40.3, 42.0]","41.1 (5.5) [37.2, 45.0]","40.5 (0.5) [40.2, 40.9]","Welch F(2, 11.79) = 1.23",0.326,eta-squared = 0.01
Resolved targets,"314.0 (16.7) [298.5, 329.5]","282.0 (58.9) [239.9, 324.1]","289.8 (14.3) [280.2, 299.4]","Welch F(2, 13.65) = 5.09",0.022,eta-squared = 0.11
"Maximum scroll speed, m/s","5.50 (0.00) [5.50, 5.50]","5.93 (0.74) [5.40, 6.46]","5.50 (0.00) [5.50, 5.50]",Descriptive,,
"Minimum pattern gap, m","2.20 (0.00) [2.20, 2.20]","2.12 (0.16) [2.01, 2.24]","2.20 (0.00) [2.20, 2.20]",Descriptive,,
