Outcome,Fixed Time-Based,Performance-Based DDA,Skill-Specific DDA,Test statistic,p-value,Effect size
"Normalized target score, %","74.1 (7.3) [67.4, 80.8]","81.7 (3.2) [79.5, 84.0]","76.1 (10.5) [69.1, 83.2]","Welch F(2, 12.06) = 4.20",0.165,eta-squared = 0.16
Wall-contact percentage,"3.0 (2.4) [0.8, 5.3]","1.3 (1.4) [0.3, 2.3]","2.4 (2.6) [0.6, 4.1]","Welch F(2, 13.58) = 1.71",0.596,eta-squared = 0.10
Final score,"4655.7 (546.2) [4150.6, 5160.9]","4606.0 (929.8) [3940.8, 5271.2]","4422.7 (691.6) [3958.1, 4887.3]","Welch F(2, 15.99) = 0.32",0.729,eta-squared = 0.02
"Target hit rate, %","84.4 (7.7) [77.3, 91.5]","87.0 (3.8) [84.2, 89.7]","84.4 (13.1) [75.6, 93.1]","Welch F(2, 12.39) = 0.46",0.641,eta-squared = 0.02
"Shot accuracy, %","32.0 (16.3) [17.0, 47.1]","48.2 (20.4) [33.6, 62.8]","36.2 (17.0) [24.8, 47.6]","Welch F(2, 15.36) = 1.71",0.214,eta-squared = 0.13
"Color-match rate, %","75.8 (12.6) [64.2, 87.5]","88.2 (9.0) [81.8, 94.6]","81.2 (8.9) [75.2, 87.2]","Welch F(2, 13.90) = 2.89",0.089,eta-squared = 0.21
Zero-stability percentage,"2.7 [0.7, 6.8]","0.2 [0.0, 1.6]","1.4 [0.2, 4.7]",H(2) = 2.16,0.339,epsilon-squared = 0.01
