experienceLabel,schemaVersion,participantId,runId,dataCollectionConsent,attemptIndex,ddaAlgorithm,age,experience,startedUtc,endedUtc,actualRunDurationSeconds,finalScore,actualMinScrollSpeedReached,actualMaxScrollSpeedReached,actualMinPatternGapReached,actualMaxPatternGapReached,totalPatternsSpawned,veryEasyPatternsSpawned,easyPatternsSpawned,mediumPatternsSpawned,hardPatternsSpawned,expertPatternsSpawned,totalShotsFired,redShotsFired,blueShotsFired,targetsHit,targetsMissed,correctColorHits,wrongColorHits,redTargetsHit,blueTargetsHit,stabilityLostFromWalls,stabilityLostFromMissedTargets,stabilityRecoveredFromHits,wallContactTimeSeconds,lowestStability,finalStability,maxStability,depletionCount,totalDepletedTimeSeconds,targetsSeen,shotsMissed,shotAccuracyPercent,targetHitRatePercent,colorMatchRatePercent,scorePerMinute,wallContactPercentOfRun,stabilityDepletedAtLeastOnce,firstStabilityDepletionTimeSeconds,movementAnalytics.sampleIntervalSeconds,movementAnalytics.sampledDurationSeconds,movementAnalytics.sampleCount,movementAnalytics.headTotalDistance,movementAnalytics.headHorizontalDistance,movementAnalytics.headMaxSpeed,movementAnalytics.headTotalAngularDistance,movementAnalytics.headYawRange,movementAnalytics.headPitchRange,movementAnalytics.headRollRange,movementAnalytics.bodyHorizontalDistance,movementAnalytics.maxBodyOffsetFromStart,movementAnalytics.leftControllerDistance,movementAnalytics.rightControllerDistance,movementAnalytics.totalControllerDistance,movementAnalytics.leftControllerMaxSpeed,movementAnalytics.rightControllerMaxSpeed,tutorialAnalytics.completed,tutorialAnalytics.totalSeconds,tutorialAnalytics.targetStepSeconds,tutorialAnalytics.wallStepSeconds,tutorialAnalytics.targetPausedSeconds,tutorialAnalytics.wallPausedSeconds,postRunFeedback.difficultyRating,postRunFeedback.enjoymentRating,postRunFeedback.frustrationRating,postRunFeedback.motionSickness,postRunFeedback.completed,source_file,source_row,record_key,headset_from_source,run_id,headset_override,session_type,attempt_decision,manual_exclusion_reason,notes,headset_model,structurally_invalid,exclusion_reason,screening_status,strategy,experience_category,active_duration_s,wall_clock_duration_s,final_score,total_patterns_spawned,resolved_targets,normalized_target_score_pct,target_hit_rate_pct,shot_accuracy_pct,color_match_rate_pct,wall_contact_pct,zero_stability_pct,hard_expert_pattern_pct,horizontal_movement_m_per_min,pattern_very_easy_pct,pattern_easy_pct,pattern_medium_pct,pattern_hard_pct,pattern_expert_pct,maximum_scroll_speed_m_s,minimum_pattern_gap_m,difficulty_rating,enjoyment_rating,frustration_rating,difficulty_deviation,feedback_complete,motion_sickness_report
Some,1.3,P-20260803-202857-FC3EDE03,R-20260803-202931-74AE8E33,True,1,PerformanceDda,22,1,2026-08-03T20:29:31.9893510Z,2026-08-03T20:33:02.0065850Z,210.017,5230,2,5.696,2.161,3,42,5,9,14,14,0,1132,552,580,298,17,225,73,150,148,45.565,85.0,120.565,1.302,72.803,90.0,100,0,0.0,315,834,26.325,94.603,75.503,1494.164,0.62,False,-1.0,0.1,209.991,1850,42.607,40.207,4.75,2966.551,61.313,67.05,20.757,40.207,1.063,83.983,78.046,162.028,4.874,4.708,True,23.028,1.654,16.401,0.0,9.734,2,5,1,False,True,analytics_full_set1.json,13,analytics_full_set1.json:13,Unknown,R-20260803-202931-74AE8E33,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Performance-Based DDA,Some,209.991,210.017,5230,42,315,83.01587301587303,94.6031746031746,26.325088339222614,75.50335570469798,0.6200265725673958,0.0,33.33333333333333,11.488206637427318,11.904761904761903,21.428571428571427,33.33333333333333,33.33333333333333,0.0,5.696,2.161,2,5,1,1,True,False
Some,1.3,P-20260803-203327-2416A925,R-20260803-203352-78E56646,True,1,SkillSplitDda,23,1,2026-08-03T20:33:52.6562750Z,2026-08-03T20:37:22.6740780Z,210.018,4960,2,5.5,2.2,3,41,3,15,9,11,3,1237,595,642,295,14,201,94,151,144,53.86,70.0,95.041,1.539,64.181,71.181,100,0,0.0,309,942,23.848,95.469,68.136,1417.023,0.733,False,-1.0,0.1,209.991,1841,42.163,35.946,1.332,2242.832,40.042,39.383,12.042,35.946,1.102,66.91,60.725,127.635,3.288,2.791,True,13.292,1.616,6.733,0.0,0.0,2,4,1,False,True,analytics_full_set1.json,14,analytics_full_set1.json:14,Unknown,R-20260803-203352-78E56646,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Skill-Specific DDA,Some,209.991,210.018,4960,41,309,80.2588996763754,95.46925566343042,23.848019401778497,68.13559322033899,0.7328885523665298,0.0,34.146341463414636,10.270725888252352,7.317073170731707,36.58536585365854,21.951219512195124,26.82926829268293,7.317073170731707,5.5,2.2,2,4,1,1,True,False
None,1.3,P-20260803-203751-E6C0090B,R-20260803-203819-9150C5FD,True,1,FixedTime,19,0,2026-08-03T20:38:19.5713240Z,2026-08-03T20:41:49.5783910Z,210.007,4740,2,5.5,2.2,3,42,4,13,6,14,5,1400,698,702,287,19,187,100,144,143,322.568,41.182,263.75,11.667,0.0,0.0,100,37,5.743,306,1113,20.5,93.791,65.157,1354.24,5.555,True,193.843,0.1,209.977,1831,28.863,28.357,0.902,1629.041,33.938,36.018,18.046,28.357,0.695,37.063,34.329,71.392,1.735,2.431,True,16.167,1.198,10.05,0.0,2.916,3,3,3,True,True,analytics_full_set1.json,15,analytics_full_set1.json:15,Unknown,R-20260803-203819-9150C5FD,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Fixed Time-Based,None,209.977,210.007,4740,42,306,77.45098039215686,93.79084967320262,20.5,65.1567944250871,5.556322835358158,2.7350614591121887,45.23809523809524,8.102887459102664,9.523809523809524,30.952380952380953,14.285714285714285,33.33333333333333,11.904761904761903,5.5,2.2,3,3,3,0,True,True
High,1.3,P-20260803-204241-8C9922A3,R-20260803-204306-D213B70C,True,1,PerformanceDda,24,2,2026-08-03T20:43:06.8029010Z,2026-08-03T20:46:36.8039440Z,210.001,5740,2,6.909,1.92,3,47,4,12,13,15,3,868,408,460,321,42,253,68,165,156,28.237,200.076,189.313,1.059,0.0,61.0,100,5,1.044,363,547,36.982,88.43,78.816,1639.992,0.504,True,171.831,0.1,209.974,1881,50.863,44.526,1.253,2800.603,30.757,35.3,11.33,44.526,1.076,118.467,105.333,223.8,3.782,3.332,True,13.996,1.802,7.303,0.0,0.75,1,5,1,False,True,analytics_full_set1.json,16,analytics_full_set1.json:16,Unknown,R-20260803-204306-D213B70C,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Performance-Based DDA,High,209.974,210.001,5740,47,363,79.06336088154269,88.42975206611571,36.9815668202765,78.81619937694704,0.5043481573909151,0.4972044157848115,38.297872340425535,12.72328955013478,8.51063829787234,25.53191489361702,27.659574468085108,31.914893617021278,6.382978723404255,6.909,1.92,1,5,1,2,True,False
Some,1.3,P-20260803-204737-AB92EE5F,R-20260803-204802-7FB9A22F,True,1,SkillSplitDda,21,1,2026-08-03T20:48:02.2279520Z,2026-08-03T20:51:32.2437140Z,210.016,4960,2,5.5,2.2,3,41,5,18,4,13,1,1372,719,653,290,5,206,84,150,140,266.107,25.0,199.807,7.603,6.486,8.699,100,0,0.0,295,1082,21.137,98.305,71.034,1417.036,3.62,False,-1.0,0.1,209.989,1773,27.176,26.216,0.952,1520.583,22.844,39.98,22.07,26.216,0.817,36.875,31.693,68.568,3.165,3.472,True,13.39,1.238,7.165,0.0,0.083,2,2,2,False,True,analytics_full_set1.json,17,analytics_full_set1.json:17,Unknown,R-20260803-204802-7FB9A22F,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Skill-Specific DDA,Some,209.989,210.016,4960,41,295,84.06779661016948,98.30508474576271,21.137026239067055,71.03448275862068,3.620665844401373,0.0,34.146341463414636,7.490678083137688,12.195121951219512,43.90243902439025,9.75609756097561,31.70731707317073,2.4390243902439024,5.5,2.2,2,2,2,1,True,False
None,1.3,P-20260803-205159-7557146F,R-20260803-205226-5A31D015,True,1,FixedTime,20,0,2026-08-03T20:52:26.6278070Z,2026-08-03T20:55:56.6622840Z,210.035,4900,2,5.5,2.2,3,40,0,11,10,13,6,1156,592,564,294,41,196,98,153,141,293.18,92.82,287.0,13.975,0.0,1.0,100,82,13.511,335,862,25.433,87.761,66.667,1399.77,6.654,True,29.628,0.1,209.991,1839,19.765,19.009,0.665,3296.634,205.729,59.819,14.953,19.009,0.754,34.054,37.878,71.933,2.023,3.262,True,15.587,2.089,8.554,0.0,2.231,3,3,3,False,True,analytics_full_set1.json,18,analytics_full_set1.json:18,Unknown,R-20260803-205226-5A31D015,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Fixed Time-Based,None,209.991,210.035,4900,40,335,73.13432835820896,87.76119402985074,25.432525951557096,66.66666666666666,6.655047121067092,6.434085270321107,47.5,5.431375630384158,0.0,27.500000000000004,25.0,32.5,15.0,5.5,2.2,3,3,3,0,True,False
Some,1.3,P-20260804-075659-B3AAD3E3,R-20260804-075724-00D9EA4C,True,1,PerformanceDda,26,1,2026-08-04T07:57:24.4648220Z,2026-08-04T08:00:54.8752900Z,210.41,4720,2,6.387,2.023,3,40,2,14,12,11,1,316,168,148,239,40,233,6,127,112,131.029,200.0,233.983,3.744,2.954,2.954,100,0,0.0,279,77,75.633,85.663,97.49,1345.941,1.779,False,-1.0,0.1,209.982,1859,53.454,43.898,1.415,3531.667,58.691,55.333,21.36,43.898,1.165,122.513,120.853,243.365,3.918,3.873,True,13.252,2.572,5.861,0.0,0.0,3,5,3,True,True,analytics_full_set1.json,19,analytics_full_set1.json:19,Unknown,R-20260804-075724-00D9EA4C,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Performance-Based DDA,Some,209.982,210.41,4720,40,279,84.58781362007169,85.66308243727599,75.63291139240506,97.48953974895397,1.7830099722833386,0.0,30.0,12.543360859502243,5.0,35.0,30.0,27.500000000000004,2.5,6.387,2.023,3,5,3,0,True,True
Some,1.3,P-20260804-080225-EBDEEAB4,R-20260804-080250-4C74E07B,True,1,SkillSplitDda,22,1,2026-08-04T08:02:50.0503990Z,2026-08-04T08:06:20.0502600Z,210.0,4990,2,5.5,2.2,3,40,2,20,4,11,3,326,177,149,254,57,245,9,133,121,61.247,200.649,164.0,3.986,0.0,2.104,100,31,6.132,311,72,77.914,81.672,96.457,1425.715,1.898,True,184.028,0.1,209.973,1889,42.614,32.727,1.31,3445.541,134.915,49.973,31.253,32.727,1.099,103.362,99.116,202.478,4.616,3.85,True,13.432,3.5,5.134,0.0,0.0,4,5,5,False,True,analytics_full_set1.json,20,analytics_full_set1.json:20,Unknown,R-20260804-080250-4C74E07B,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Skill-Specific DDA,Some,209.973,210.0,4990,40,311,80.22508038585208,81.67202572347267,77.91411042944786,96.45669291338582,1.8983393102922754,2.9203754768470227,35.0,9.351773799488504,5.0,50.0,10.0,27.500000000000004,7.5,5.5,2.2,4,5,5,1,True,False
Some,1.3,P-20260719-084322-D06B3C4E,R-20260719-084347-6A9321AA,True,1,PerformanceDda,17,1,2026-07-19T08:43:47.3805090Z,2026-07-19T08:47:17.3714150Z,209.991,4680,2,6.165,2.084,3,42,4,17,8,13,0,356,176,180,243,50,225,18,128,115,43.044,208.8,181.062,1.257,0.0,29.218,100,6,3.466,293,113,68.258,82.935,92.593,1337.201,0.598,True,136.694,0.1,209.976,1931,59.584,41.458,2.241,4276.612,52.583,66.466,19.141,41.458,1.579,146.835,125.696,272.531,4.462,4.78,True,13.229,1.465,6.918,0.0,0.0,3,5,1,False,True,analytics_full_set1.json,21,analytics_full_set1.json:21,Unknown,R-20260719-084347-6A9321AA,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Performance-Based DDA,Some,209.976,209.991,4680,42,293,79.86348122866895,82.93515358361775,68.25842696629213,92.5925925925926,0.5986398445536633,1.6506648378862347,30.952380952380953,11.846496742484854,9.523809523809524,40.476190476190474,19.047619047619047,30.952380952380953,0.0,6.165,2.084,3,5,1,0,True,False
Some,1.3,P-20260719-085046-EC540EEA,R-20260719-085111-17A32D03,True,1,SkillSplitDda,18,1,2026-07-19T08:51:11.0297190Z,2026-07-19T08:54:41.0406970Z,210.011,4070,2,5.5,2.2,3,40,4,23,3,10,0,631,312,319,230,50,177,53,118,112,80.321,213.076,198.123,2.295,0.0,4.727,100,11,4.046,280,401,36.45,82.143,76.957,1162.796,1.093,True,154.099,0.1,209.956,1820,51.047,42.951,1.441,3546.986,134.004,34.783,35.636,42.951,1.695,65.573,68.213,133.786,1.834,1.819,True,13.425,2.807,5.668,0.0,0.0,3,5,3,False,True,analytics_full_set1.json,22,analytics_full_set1.json:22,Unknown,R-20260719-085111-17A32D03,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Skill-Specific DDA,Some,209.956,210.011,4070,40,280,72.67857142857143,82.14285714285714,36.450079239302696,76.95652173913044,1.0930861704357104,1.9270704338051785,25.0,12.274286040884757,10.0,57.49999999999999,7.5,25.0,0.0,5.5,2.2,3,5,3,0,True,False
