record_key,source_file,source_row,runId,participantId,startedUtc,attemptIndex,ddaAlgorithm,age,experienceLabel,movementAnalytics.sampledDurationSeconds,actualRunDurationSeconds,tutorialAnalytics.completed,postRunFeedback.completed,headset_model,session_type,attempt_decision,manual_exclusion_reason,screening_status,exclusion_reason,notes
analytics_full_set1.json:25,analytics_full_set1.json,25,R-20260719-091012-4EAD5CB0,P-20260719-090744-2DFC2D14,2026-07-19T09:10:12.6750260Z,1,SkillSplitDda,17,Some,210.0,210.026,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:26,analytics_full_set1.json,26,R-20260719-091622-92127A6F,P-20260719-091558-73E68AA2,2026-07-19T09:16:22.8865460Z,1,FixedTime,18,None,209.962,214.823,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:27,analytics_full_set1.json,27,R-20260719-092328-65D9D1AB,P-20260719-092303-0D87983F,2026-07-19T09:23:28.1809840Z,1,PerformanceDda,16,None,209.981,210.01,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:28,analytics_full_set1.json,28,R-20260719-093012-4EB0A2D2,P-20260719-092947-41190A90,2026-07-19T09:30:12.3616150Z,1,SkillSplitDda,18,None,210.0,210.027,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:29,analytics_full_set1.json,29,R-20260804-072904-22984449,P-20260804-072839-B2918B40,2026-08-04T07:29:04.6018970Z,1,FixedTime,21,High,209.992,210.021,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:30,analytics_full_set1.json,30,R-20260804-075051-71E20E02,P-20260804-075026-91F26137,2026-08-04T07:50:51.4978510Z,1,PerformanceDda,19,None,209.991,210.023,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:31,analytics_full_set1.json,31,R-20260804-075716-FEF7CC7F,P-20260804-075652-3C847288,2026-08-04T07:57:16.9171120Z,1,SkillSplitDda,21,Some,209.984,210.014,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:32,analytics_full_set1.json,32,R-20260718-112557-9DE59B9C,P-20260718-112531-A13A6532,2026-07-18T11:25:57.5213690Z,1,FixedTime,35,Some,18.445,18.473,True,False,Meta Quest 2,researcher_test,auto,,excluded,researcher_staff_demo_or_informal,
analytics_full_set1.json:33,analytics_full_set1.json,33,R-20260719-084613-4586B311,P-20260719-084548-35DA45C7,2026-07-19T08:46:13.2304190Z,1,PerformanceDda,17,None,209.981,210.035,True,True,Meta Quest 2,participant,auto,,excluded,eligible_meta_quest_2,
analytics_full_set1.json:34,analytics_full_set1.json,34,R-20260719-085239-4D3DEBEA,P-20260719-085200-643E5614,2026-07-19T08:52:39.2046440Z,1,SkillSplitDda,16,None,209.967,210.007,True,True,Meta Quest 2,participant,auto,,excluded,eligible_meta_quest_2,
analytics_full_set1.json:35,analytics_full_set1.json,35,R-20260719-085900-73ECF5ED,P-20260719-085835-99A88833,2026-07-19T08:59:00.1855450Z,1,FixedTime,18,None,209.959,210.0,True,True,Meta Quest 2,participant,auto,,excluded,eligible_meta_quest_2,
analytics_full_set1.json:36,analytics_full_set1.json,36,R-20260719-090440-0D27E24A,P-20260719-090416-EEAB6FB2,2026-07-19T09:04:40.7644370Z,1,PerformanceDda,16,Some,209.98,210.008,True,True,Meta Quest 2,participant,auto,,excluded,eligible_meta_quest_2,
analytics_full_set1.json:37,analytics_full_set1.json,37,R-20260719-091010-9B74A915,P-20260719-090945-E625F86E,2026-07-19T09:10:10.6918050Z,1,SkillSplitDda,19,None,209.96,210.025,True,True,Meta Quest 2,participant,auto,,excluded,eligible_meta_quest_2,
analytics_full_set1.json:38,analytics_full_set1.json,38,R-20260719-091544-33DEDFD3,P-20260719-091519-355DEA25,2026-07-19T09:15:44.3433960Z,1,FixedTime,21,Some,209.986,210.014,True,True,Meta Quest 2,participant,auto,,excluded,eligible_meta_quest_2,
