outcome,strategy,n,mean,sd,ci_low,ci_high,median,q1,q3,minimum,maximum
hard_expert_pattern_pct,Fixed Time-Based,7,41.0477849676456,6.673761374480927,34.875585135167725,47.21998480012347,43.90243902439025,36.120789779326365,46.36904761904762,30.952380952380953,47.5
hard_expert_pattern_pct,Performance-Based DDA,10,27.352947912518847,10.907970370045645,19.54985597818331,35.156039846854384,30.782312925170068,26.686046511627907,33.125,0.0,38.297872340425535
hard_expert_pattern_pct,Skill-Specific DDA,11,28.708425720620845,7.082354119461407,23.95043548217545,33.46641595906624,31.70731707317073,23.75,34.146341463414636,17.073170731707318,35.0
total_patterns_spawned,Fixed Time-Based,7,41.142857142857146,0.8997354108424372,40.31074067352833,41.97497361218596,41.0,40.5,42.0,40.0,42.0
total_patterns_spawned,Performance-Based DDA,10,41.1,5.466056876558985,37.18981846492509,45.01018153507491,42.0,40.0,42.75,29.0,49.0
total_patterns_spawned,Skill-Specific DDA,11,40.54545454545455,0.5222329678670934,40.19461366382196,40.89629542708713,41.0,40.0,41.0,40.0,41.0
resolved_targets,Fixed Time-Based,7,314.0,16.713268182295565,298.5428049811047,329.4571950188953,314.0,305.5,326.0,286.0,335.0
resolved_targets,Performance-Based DDA,10,282.0,58.87651861688533,239.88227580790067,324.11772419209933,287.5,279.25,309.5,159.0,363.0
resolved_targets,Skill-Specific DDA,11,289.8181818181818,14.260562273754719,280.2378057244731,299.3985579118905,293.0,278.5,298.0,267.0,311.0
normalized_target_score_pct,Fixed Time-Based,7,74.08892346638264,7.280690328832506,67.35540797094158,80.82243896182369,75.47770700636943,73.04132831284309,76.66255313314137,59.83606557377049,83.90092879256966
normalized_target_score_pct,Performance-Based DDA,10,81.74584624986245,3.167464404208384,79.47997871389573,84.01171378582917,80.82503005481183,79.34087030716722,84.19482846902201,77.67295597484278,87.61682242990653
normalized_target_score_pct,Skill-Specific DDA,11,76.14042827866905,10.509479950399797,69.08006357906511,83.20079297827299,80.22508038585208,73.50371524448707,81.87934079572304,52.00729927007299,88.38951310861424
wall_contact_pct,Fixed Time-Based,7,3.0235936079887655,2.4371752557491653,0.7695824348032074,5.277604781174324,1.9734085108004114,0.970511886205287,4.900861330056694,0.793953191529896,6.655047121067092
wall_contact_pct,Performance-Based DDA,10,1.2784680384458,1.4361460756185322,0.25111102526941464,2.305825051622185,0.6093332085605295,0.5116001659071424,1.6694145716593232,0.05333333333333334,4.735962359933139
wall_contact_pct,Skill-Specific DDA,11,2.364219927826046,2.636730790068033,0.5928400802583325,4.13559977539376,1.0930861704357104,0.6431320238211802,3.11397263666192,0.04000190485261203,7.773449405669003
final_score,Fixed Time-Based,7,4655.714285714285,546.1946277917529,4150.568506446926,5160.860064981644,4740.0,4540.0,4850.0,3650.0,5420.0
final_score,Performance-Based DDA,10,4606.0,929.829136036413,3940.8403061636154,5271.159693836385,4700.0,4590.0,5110.0,2470.0,5740.0
final_score,Skill-Specific DDA,11,4422.727272727273,691.5936799753293,3958.108316545598,4887.346228908948,4720.0,4250.0,4855.0,2850.0,4990.0
target_hit_rate_pct,Fixed Time-Based,7,84.39087751629371,7.692128349103222,77.2768453171089,91.50490971547853,87.06293706293707,79.7572261049697,88.46264035857862,73.44262295081967,93.79084967320262
target_hit_rate_pct,Performance-Based DDA,10,86.97300745006355,3.8089348701558845,84.24825958630505,89.69775531382204,86.60714285714286,84.62331777913032,88.6962230632579,81.57894736842105,94.6031746031746
target_hit_rate_pct,Skill-Specific DDA,11,84.35167909530347,13.093037030745618,75.55565713239304,93.1477010582139,83.89261744966443,80.7688987677766,95.28707538416276,54.74452554744526,98.50187265917603
shot_accuracy_pct,Fixed Time-Based,7,32.03953826690939,16.29254308205953,16.971449068178064,47.10762746564072,25.432525951557096,22.215811965811966,33.75816623239304,20.41127189642041,66.4850136239782
shot_accuracy_pct,Performance-Based DDA,10,48.22449315329718,20.43695726298401,33.604774638194236,62.84421166840013,45.47941977377461,28.186381900955396,67.02495478936291,26.325088339222614,75.63291139240506
shot_accuracy_pct,Skill-Specific DDA,11,36.18531529138006,16.96195096079212,24.790121583870867,47.58050899888924,31.989247311827956,24.116127927490233,40.952312346924074,21.137026239067055,77.91411042944786
color_match_rate_pct,Fixed Time-Based,7,75.83550085426396,12.626814744860368,64.15764492268025,87.51335678584766,74.29718875502009,65.91173054587688,82.53005804311775,62.94642857142857,96.72131147540983
color_match_rate_pct,Performance-Based DDA,10,88.20782656081256,8.9732048379648,81.78878251128506,94.62687061034006,88.4604754007739,80.75933075933077,97.13025844180343,75.50335570469798,97.91666666666666
color_match_rate_pct,Skill-Specific DDA,11,81.19007051418184,8.89410208531146,75.21493143078524,87.16520959757844,79.46768060836501,74.94243909685086,87.51023622047245,68.13559322033899,96.45669291338582
zero_stability_pct,Fixed Time-Based,7,3.910667437309659,3.814505162560834,0.3828385557780405,7.438496318841278,2.7350614591121887,0.7060142183072504,6.781702241240785,0.0,9.664177682959352
zero_stability_pct,Performance-Based DDA,10,1.9951799141782451,3.8574749925561496,-0.7642914613559346,4.754651289712425,0.24860220789240575,0.0,1.5934900542376875,0.0,12.347313430703514
zero_stability_pct,Skill-Specific DDA,11,5.185324263816178,10.712701893628788,-2.0115667949349865,12.382215322567344,1.421904761904762,0.16642857142857143,4.659240999624365,0.0,36.66676190748308
difficulty_deviation,Fixed Time-Based,7,0.5714285714285714,0.7867957924694432,-0.15623617203131956,1.2990933148884625,0.0,0.0,1.0,0.0,2.0
difficulty_deviation,Performance-Based DDA,10,0.7,0.8232726023485646,0.11106625841351347,1.2889337415864865,0.5,0.0,1.0,0.0,2.0
difficulty_deviation,Skill-Specific DDA,11,0.36363636363636365,0.504524979109513,0.024691870722828968,0.7025808565498983,0.0,0.0,1.0,0.0,1.0
enjoyment_rating,Fixed Time-Based,7,3.857142857142857,0.6900655593423541,3.218938658524368,4.495347055761346,4.0,3.5,4.0,3.0,5.0
enjoyment_rating,Performance-Based DDA,10,4.5,0.7071067811865476,3.9941662808195155,5.005833719180485,5.0,4.0,5.0,3.0,5.0
enjoyment_rating,Skill-Specific DDA,11,4.0,1.0,3.3281908588316638,4.671809141168336,4.0,3.5,5.0,2.0,5.0
frustration_rating,Fixed Time-Based,7,2.142857142857143,0.8997354108424372,1.3107406735283258,2.97497361218596,2.0,1.5,3.0,1.0,3.0
frustration_rating,Performance-Based DDA,10,1.6,0.8432740427115678,0.9967580899204789,2.2032419100795213,1.0,1.0,2.0,1.0,3.0
frustration_rating,Skill-Specific DDA,11,2.1818181818181817,1.1677484162422844,1.397314121201768,2.9663222424345954,2.0,1.5,2.5,1.0,5.0
maximum_scroll_speed_m_s,Fixed Time-Based,7,5.5,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5
