outcome,removed_run_id,removed_strategy,removed_value,full_F,leave_one_out_F,change_in_F,full_p,leave_one_out_p,change_in_p,full_eta_squared,leave_one_out_eta_squared
hard_expert_pattern_pct,R-20260719-073723-9A82FD86,Performance-Based DDA,33.33333333333333,8.073172036110973,8.109892443360451,0.03672040724947756,0.004030498738803322,0.004359081418183394,0.00032858267938007217,0.3272287731055266,0.3407368447940603
hard_expert_pattern_pct,R-20260719-074245-6E61F985,Skill-Specific DDA,17.073170731707318,8.073172036110973,7.346080700136603,-0.7270913359743707,0.004030498738803322,0.006109841548081676,0.002079342809278354,0.3272287731055266,0.33020818703324123
hard_expert_pattern_pct,R-20260719-084336-9AD97336,Performance-Based DDA,32.5,8.073172036110973,8.060802906649904,-0.01236912946106905,0.004030498738803322,0.0044643036876802974,0.00043380494887697556,0.3272287731055266,0.33763716372502095
hard_expert_pattern_pct,R-20260719-084917-0433BF01,Skill-Specific DDA,35.0,8.073172036110973,8.405552253871168,0.33238021776019444,0.004030498738803322,0.0034582830490545676,-0.0005722156897487543,0.3272287731055266,0.3397411477061139
hard_expert_pattern_pct,R-20260719-085701-11428E75,Fixed Time-Based,30.952380952380953,8.073172036110973,12.084735206731718,4.011563170620745,0.004030498738803322,0.0007861495793371684,-0.0032443491594661535,0.3272287731055266,0.3706812251161228
hard_expert_pattern_pct,R-20260719-090242-3BA5890E,Performance-Based DDA,25.581395348837212,8.073172036110973,7.750205425302822,-0.3229666108081517,0.004030498738803322,0.005185984496314389,0.0011554857575110673,0.3272287731055266,0.32004401236587976
hard_expert_pattern_pct,R-20260719-090751-C6AEDFB5,Skill-Specific DDA,22.5,8.073172036110973,7.420246765534325,-0.652925270576648,0.004030498738803322,0.005608183754183159,0.0015776850153798368,0.3272287731055266,0.3228042981733941
hard_expert_pattern_pct,R-20260719-091426-075509FD,Fixed Time-Based,43.90243902439025,8.073172036110973,6.056127679300253,-2.01704435681072,0.004030498738803322,0.013326423599353833,0.00929592486055051,0.3272287731055266,0.28787524630710504
hard_expert_pattern_pct,R-20260719-092039-C2ECB570,Performance-Based DDA,0.0,8.073172036110973,7.626537094542484,-0.4466349415684894,0.004030498738803322,0.005398602164429837,0.0013681034256265148,0.3272287731055266,0.41302802358746243
hard_expert_pattern_pct,R-20260803-131118-25C444A0,Skill-Specific DDA,34.146341463414636,8.073172036110973,8.289608718192248,0.21643668208127487,0.004030498738803322,0.00363945825935091,-0.00039104047945241185,0.3272287731055266,0.3371005724840641
hard_expert_pattern_pct,R-20260803-202931-74AE8E33,Performance-Based DDA,33.33333333333333,8.073172036110973,8.109892443360451,0.03672040724947756,0.004030498738803322,0.004359081418183394,0.00032858267938007217,0.3272287731055266,0.34073684479406036
hard_expert_pattern_pct,R-20260803-203352-78E56646,Skill-Specific DDA,34.146341463414636,8.073172036110973,8.289608718192248,0.21643668208127487,0.004030498738803322,0.00363945825935091,-0.00039104047945241185,0.3272287731055266,0.3371005724840641
hard_expert_pattern_pct,R-20260803-203819-9150C5FD,Fixed Time-Based,45.23809523809524,8.073172036110973,6.025660680903665,-2.047511355207308,0.004030498738803322,0.01342826926575166,0.009397770526948339,0.3272287731055266,0.28188181695020625
hard_expert_pattern_pct,R-20260803-204306-D213B70C,Performance-Based DDA,38.297872340425535,8.073172036110973,8.481572332594885,0.4084002964839115,0.004030498738803322,0.0036410230603280747,-0.00038947567847524714,0.3272287731055266,0.36412554570662753
hard_expert_pattern_pct,R-20260803-204802-7FB9A22F,Skill-Specific DDA,34.146341463414636,8.073172036110973,8.289608718192248,0.21643668208127487,0.004030498738803322,0.00363945825935091,-0.00039104047945241185,0.3272287731055266,0.3371005724840641
hard_expert_pattern_pct,R-20260803-205226-5A31D015,Fixed Time-Based,47.5,8.073172036110973,6.158295500934315,-1.9148765351766581,0.004030498738803322,0.012227413958428097,0.008196915219624776,0.3272287731055266,0.2726837386161342
hard_expert_pattern_pct,R-20260804-075724-00D9EA4C,Performance-Based DDA,30.0,8.073172036110973,7.930574200758491,-0.1425978353524826,0.004030498738803322,0.004755495229937443,0.0007249964911341215,0.3272287731055266,0.3296401671899918
hard_expert_pattern_pct,R-20260804-080250-4C74E07B,Skill-Specific DDA,35.0,8.073172036110973,8.405552253871168,0.33238021776019444,0.004030498738803322,0.0034582830490545676,-0.0005722156897487543,0.3272287731055266,0.3397411477061139
hard_expert_pattern_pct,R-20260719-084347-6A9321AA,Performance-Based DDA,30.952380952380953,8.073172036110973,7.977395352744988,-0.095776683365985,0.004030498738803322,0.0046488016412327615,0.0006183029024294396,0.3272287731055266,0.3324609523003815
hard_expert_pattern_pct,R-20260719-085111-17A32D03,Skill-Specific DDA,25.0,8.073172036110973,7.52024861436052,-0.5529234217504531,0.004030498738803322,0.00528403142180546,0.0012535326830021383,0.3272287731055266,0.32253391552288185
hard_expert_pattern_pct,R-20260719-085745-B9C21BFE,Fixed Time-Based,47.5,8.073172036110973,6.158295500934315,-1.9148765351766581,0.004030498738803322,0.012227413958428097,0.008196915219624776,0.3272287731055266,0.2726837386161342
hard_expert_pattern_pct,R-20260719-091012-4EAD5CB0,Skill-Specific DDA,31.70731707317073,8.073172036110973,8.008772931313477,-0.06439910479749678,0.004030498738803322,0.004137179882611815,0.00010668114380849286,0.3272287731055266,0.33080628532930473
hard_expert_pattern_pct,R-20260719-091622-92127A6F,Fixed Time-Based,34.146341463414636,8.073172036110973,8.913689333047397,0.8405172969364241,0.004030498738803322,0.0032253126107365153,-0.0008051861280668066,0.3272287731055266,0.3455521566265885
hard_expert_pattern_pct,R-20260719-092328-65D9D1AB,Performance-Based DDA,18.91891891891892,8.073172036110973,7.565019658014477,-0.5081523780964963,0.004030498738803322,0.005646101328517043,0.0016156025897137213,0.3272287731055266,0.31632845513209235
hard_expert_pattern_pct,R-20260719-093012-4EB0A2D2,Skill-Specific DDA,30.0,8.073172036110973,7.8495117587705145,-0.2236602773404588,0.004030498738803322,0.004463376207358032,0.0004328774685547097,0.3272287731055266,0.3274626800274468
hard_expert_pattern_pct,R-20260804-072904-22984449,Fixed Time-Based,38.095238095238095,8.073172036110973,7.0562618413355365,-1.0169101947754369,0.004030498738803322,0.008024934597248314,0.003994435858444992,0.3272287731055266,0.3190557841099471
hard_expert_pattern_pct,R-20260804-075051-71E20E02,Performance-Based DDA,30.612244897959183,8.073172036110973,7.960302097087806,-0.11286993902316755,0.004030498738803322,0.00468749514898122,0.0006569964101778977,0.3272287731055266,0.3314220948833006
hard_expert_pattern_pct,R-20260804-075716-FEF7CC7F,Skill-Specific DDA,17.073170731707318,8.073172036110973,7.346080700136598,-0.7270913359743751,0.004030498738803322,0.006109841548081692,0.0020793428092783705,0.3272287731055266,0.33020818703324106
total_patterns_spawned,R-20260719-073723-9A82FD86,Performance-Based DDA,42.0,1.2343153468827488,1.213996729276598,-0.020318617606150724,0.3260633836627917,0.3335716044416963,0.007508220778904617,0.007873428634674332,0.006571532606245572
total_patterns_spawned,R-20260719-074245-6E61F985,Skill-Specific DDA,41.0,1.2343153468827488,1.4003240448647407,0.16600869798199192,0.3260633836627917,0.28412141883808517,-0.041941964824706524,0.007873428634674332,0.00864661654135344
total_patterns_spawned,R-20260719-084336-9AD97336,Performance-Based DDA,40.0,1.2343153468827488,1.2398414703971152,0.005526123514366432,0.3260633836627917,0.3265850575541555,0.0005216738913638164,0.007873428634674332,0.00976016785134352
total_patterns_spawned,R-20260719-084917-0433BF01,Skill-Specific DDA,40.0,1.2343153468827488,1.0054024929269627,-0.2289128539557861,0.3260633836627917,0.3949648633241768,0.0689014796613851,0.007873428634674332,0.006099325894047321
