outcome,strategy,run_id,value,iqr_low_fence,iqr_high_fence,outside_1_5_iqr,within_group_standardized_residual,absolute_residual_at_least_3
total_patterns_spawned,Performance-Based DDA,R-20260719-092039-C2ECB570,29.0,35.875,46.875,True,-2.2136615613881507,False
total_patterns_spawned,Performance-Based DDA,R-20260803-202931-74AE8E33,42.0,35.875,46.875,False,0.16465251283052332,False
total_patterns_spawned,Performance-Based DDA,R-20260803-204306-D213B70C,47.0,35.875,46.875,True,1.079388695222321,False
total_patterns_spawned,Performance-Based DDA,R-20260804-075724-00D9EA4C,40.0,35.875,46.875,False,-0.20124196012619575,False
total_patterns_spawned,Performance-Based DDA,R-20260719-084347-6A9321AA,42.0,35.875,46.875,False,0.16465251283052332,False
total_patterns_spawned,Performance-Based DDA,R-20260719-092328-65D9D1AB,37.0,35.875,46.875,False,-0.7500836695612744,False
total_patterns_spawned,Performance-Based DDA,R-20260804-075051-71E20E02,49.0,35.875,46.875,True,1.4452831681790401,False
total_patterns_spawned,Skill-Specific DDA,R-20260719-074245-6E61F985,41.0,38.5,42.5,False,0.8703882797784869,False
total_patterns_spawned,Skill-Specific DDA,R-20260719-084917-0433BF01,40.0,38.5,42.5,False,-1.0444659357341897,False
total_patterns_spawned,Skill-Specific DDA,R-20260719-090751-C6AEDFB5,40.0,38.5,42.5,False,-1.0444659357341897,False
total_patterns_spawned,Skill-Specific DDA,R-20260803-131118-25C444A0,41.0,38.5,42.5,False,0.8703882797784869,False
total_patterns_spawned,Skill-Specific DDA,R-20260803-203352-78E56646,41.0,38.5,42.5,False,0.8703882797784869,False
total_patterns_spawned,Skill-Specific DDA,R-20260803-204802-7FB9A22F,41.0,38.5,42.5,False,0.8703882797784869,False
total_patterns_spawned,Skill-Specific DDA,R-20260804-080250-4C74E07B,40.0,38.5,42.5,False,-1.0444659357341897,False
total_patterns_spawned,Skill-Specific DDA,R-20260719-085111-17A32D03,40.0,38.5,42.5,False,-1.0444659357341897,False
total_patterns_spawned,Skill-Specific DDA,R-20260719-091012-4EAD5CB0,41.0,38.5,42.5,False,0.8703882797784869,False
total_patterns_spawned,Skill-Specific DDA,R-20260719-093012-4EB0A2D2,40.0,38.5,42.5,False,-1.0444659357341897,False
total_patterns_spawned,Skill-Specific DDA,R-20260804-075716-FEF7CC7F,41.0,38.5,42.5,False,0.8703882797784869,False
resolved_targets,Fixed Time-Based,R-20260719-085701-11428E75,286.0,274.75,356.75,False,-1.675315665051107,False
resolved_targets,Fixed Time-Based,R-20260719-091426-075509FD,305.0,274.75,356.75,False,-0.5384943209092844,False
resolved_targets,Fixed Time-Based,R-20260803-203819-9150C5FD,306.0,274.75,356.75,False,-0.47866161858603057,False
resolved_targets,Fixed Time-Based,R-20260803-205226-5A31D015,335.0,274.75,356.75,False,1.2564867487883302,False
resolved_targets,Fixed Time-Based,R-20260719-085745-B9C21BFE,323.0,274.75,356.75,False,0.5384943209092844,False
resolved_targets,Fixed Time-Based,R-20260719-091622-92127A6F,314.0,274.75,356.75,False,0.0,False
resolved_targets,Fixed Time-Based,R-20260804-072904-22984449,329.0,274.75,356.75,False,0.8974905348488074,False
resolved_targets,Performance-Based DDA,R-20260719-073723-9A82FD86,287.0,233.875,354.875,False,0.084923499511502,False
resolved_targets,Performance-Based DDA,R-20260719-084336-9AD97336,288.0,233.875,354.875,False,0.10190819941380241,False
resolved_targets,Performance-Based DDA,R-20260719-090242-3BA5890E,280.0,233.875,354.875,False,-0.0339693998046008,False
resolved_targets,Performance-Based DDA,R-20260719-092039-C2ECB570,159.0,233.875,354.875,True,-2.0891180879829494,False
resolved_targets,Performance-Based DDA,R-20260803-202931-74AE8E33,315.0,233.875,354.875,False,0.5604950967759132,False
resolved_targets,Performance-Based DDA,R-20260803-204306-D213B70C,363.0,233.875,354.875,True,1.3757606920863326,False
resolved_targets,Performance-Based DDA,R-20260804-075724-00D9EA4C,279.0,233.875,354.875,False,-0.05095409970690121,False
resolved_targets,Performance-Based DDA,R-20260719-084347-6A9321AA,293.0,233.875,354.875,False,0.1868316989253044,False
resolved_targets,Performance-Based DDA,R-20260719-092328-65D9D1AB,214.0,233.875,354.875,True,-1.1549595933564274,False
resolved_targets,Performance-Based DDA,R-20260804-075051-71E20E02,342.0,233.875,354.875,False,1.019081994138024,False
resolved_targets,Skill-Specific DDA,R-20260719-074245-6E61F985,274.0,249.25,327.25,False,-1.109225675294287,False
resolved_targets,Skill-Specific DDA,R-20260719-084917-0433BF01,298.0,249.25,327.25,False,0.5737374182556664,False
resolved_targets,Skill-Specific DDA,R-20260719-090751-C6AEDFB5,277.0,249.25,327.25,False,-0.898855288600543,False
resolved_targets,Skill-Specific DDA,R-20260803-131118-25C444A0,286.0,249.25,327.25,False,-0.2677441285193104,False
