outcome,strategy,n,mean,sd,ci_low,ci_high,median,q1,q3,minimum,maximum
normalized_target_score_pct,Fixed Time-Based,9,73.43730073088008,6.441761568290801,68.48572445938746,78.38887700237271,73.13432835820896,71.67832167832168,75.87412587412588,59.83606557377049,83.90092879256966
normalized_target_score_pct,Performance-Based DDA,12,83.21345030625793,4.6708803680997795,80.24571450721955,86.1811861052963,82.2744870305846,79.68927758816838,85.45430672268907,77.67295597484278,93.75
normalized_target_score_pct,Skill-Specific DDA,13,75.94726537022846,9.75818676527559,70.05045212473236,81.84407861572457,79.19463087248322,72.67857142857143,80.71672354948805,52.00729927007299,88.38951310861424
wall_contact_pct,Fixed Time-Based,9,2.9053361974817,2.2161904086428295,1.2018214485716416,4.608850946391758,1.9734085108004114,1.1110158675733852,4.2453998247552285,0.793953191529896,6.655047121067092
wall_contact_pct,Performance-Based DDA,12,1.473682110994531,1.3930477677382747,0.5885817863700179,2.358782435619044,0.9743274711773362,0.526104182939597,2.0874507693553226,0.05333333333333334,4.735962359933139
wall_contact_pct,Skill-Specific DDA,13,2.5603337273393576,2.4588226380909703,1.0744820779104065,4.0461853767683085,1.8983393102922754,0.7328885523665298,3.620665844401373,0.04000190485261203,7.773449405669003
hard_expert_pattern_pct,Fixed Time-Based,9,41.37049941927991,6.919312653235785,36.0518448889025,46.68915394965732,43.90243902439025,35.0,47.5,30.952380952380953,50.0
hard_expert_pattern_pct,Performance-Based DDA,12,23.869392077636675,12.862120877547854,15.697190357260203,32.041593798013146,30.306122448979593,16.608544027898866,32.70833333333333,0.0,38.297872340425535
hard_expert_pattern_pct,Skill-Specific DDA,13,27.138836772983115,7.526453016162379,22.590646734722768,31.687026811243463,30.0,19.51219512195122,34.146341463414636,17.073170731707318,35.0
difficulty_deviation,Fixed Time-Based,9,0.4444444444444444,0.7264831572567789,-0.11397994381899246,1.0028688327078812,0.0,0.0,1.0,0.0,2.0
difficulty_deviation,Performance-Based DDA,12,0.75,0.8660254037844386,0.1997537099770903,1.3002462900229097,0.5,0.0,1.25,0.0,2.0
difficulty_deviation,Skill-Specific DDA,13,0.3076923076923077,0.48038446141526137,0.017398882987188224,0.5979857323974271,0.0,0.0,1.0,0.0,1.0
enjoyment_rating,Fixed Time-Based,9,3.888888888888889,0.6009252125773316,3.4269768805049656,4.350800897272812,4.0,4.0,4.0,3.0,5.0
enjoyment_rating,Performance-Based DDA,12,4.416666666666667,0.6685579234215215,3.991885227899913,4.841448105433421,4.5,4.0,5.0,3.0,5.0
enjoyment_rating,Skill-Specific DDA,13,3.923076923076923,0.9540735874430284,3.3465360243484756,4.49961782180537,4.0,3.0,5.0,2.0,5.0
