outcome,label,test,n_total_quest3_primary,statistic_quest3_primary,df_num_quest3_primary,df_den_quest3_primary,p_raw_quest3_primary,p_holm_quest3_primary,effect_size_quest3_primary,effect_size_name_quest3_primary,significant_quest3_primary,n_total_all_headsets,statistic_all_headsets,df_num_all_headsets,df_den_all_headsets,p_raw_all_headsets,p_holm_all_headsets,effect_size_all_headsets,effect_size_name_all_headsets,significant_all_headsets,significance_changed
normalized_target_score_pct,"Normalized target score, %",welch,28,4.200919337642528,2.0,12.058088343796022,0.04126453932564539,0.16505815730258155,0.1569216244573668,eta_squared,False,34,8.30396431541519,2.0,18.246249930156537,0.0027268471277210084,0.010907388510884033,0.24867546746127744,eta_squared,True,True
wall_contact_pct,Wall-contact percentage,welch,28,1.7071320803644883,2.0,13.57764670073236,0.21809631428192322,0.5956860561503245,0.09798748372355584,eta_squared,False,34,1.8675673250587181,2.0,17.806047383747913,0.18352789404567157,0.5505836821370147,0.08478225361526708,eta_squared,False,False
hard_expert_pattern_pct,"Hard/Expert patterns, %",welch,28,8.073172036110973,2.0,15.324921850885332,0.004030498738803322,0.02015249369401661,0.3272287731055266,eta_squared,True,34,12.916399205306572,2.0,19.460360123058354,0.0002692617482493505,0.0013463087412467526,0.37356056693983397,eta_squared,True,False
difficulty_deviation,Difficulty deviation,kruskal,28,0.8454155844155775,2.0,,0.6552700801627104,0.6552700801627104,0.0,epsilon_squared,False,34,1.818283366206455,2.0,,0.40286986569030164,0.5505836821370147,0.0,epsilon_squared,False,False
enjoyment_rating,Enjoyment,kruskal,28,3.233307581585594,2.0,,0.19856201871677484,0.5956860561503245,0.049332303263423756,epsilon_squared,False,34,3.336601307189551,2.0,,0.18856723457495134,0.5505836821370147,0.04311617119966294,epsilon_squared,False,False
